Type, Architecture, Model, Layer, Energy, Latency, Wall time
Baseline, eyeriss, resnet18, 1, 1803.68, 1214976, 0.680
Baseline, eyeriss, resnet18, 2, 722.73, 903168, 1.239
Baseline, eyeriss, resnet18, 3, 722.73, 903168, 1.137
Baseline, eyeriss, resnet18, 4, 722.73, 903168, 1.088
Baseline, eyeriss, resnet18, 5, 722.73, 903168, 1.151
Baseline, eyeriss, resnet18, 6, 558.48, 526848, 1.102
Baseline, eyeriss, resnet18, 7, 649.9, 823441, 1.343
Baseline, eyeriss, resnet18, 8, 71.23, 160576, 0.841
Baseline, eyeriss, resnet18, 9, 649.9, 823441, 1.375
Baseline, eyeriss, resnet18, 10, 649.9, 823441, 1.332
Baseline, eyeriss, resnet18, 11, 339.81, 663552, 0.928
Baseline, eyeriss, resnet18, 12, 684.67, 1277952, 0.926
Baseline, eyeriss, resnet18, 13, 82.51, 124100, 1.224
Baseline, eyeriss, resnet18, 14, 684.67, 1277952, 0.901
Baseline, eyeriss, resnet18, 15, 684.67, 1277952, 0.924
Baseline, eyeriss, resnet18, 16, 1451.84, 1775232, 1.405
Baseline, eyeriss, resnet18, 17, 1610.06, 3545856, 1.135
Baseline, eyeriss, resnet18, 18, 117.77, 203264, 0.844
Baseline, eyeriss, resnet18, 19, 1610.06, 3545856, 1.162
Baseline, eyeriss, resnet18, 20, 1610.06, 3545856, 1.153
Baseline, eyeriss, resnet18, 21, 2.5, 768736, 0.701
BaselineRehash, eyeriss, resnet18, 1_2, N/A, 1506960.0, N/A
BaselineRehash, eyeriss, resnet18, 2_3, N/A, 603120.0, N/A
BaselineRehash, eyeriss, resnet18, 3_4, N/A, 603120.0, N/A
BaselineRehash, eyeriss, resnet18, 4_5, N/A, 603120.0, N/A
BaselineRehash, eyeriss, resnet18, 5_6, N/A, 603120.0, N/A
BaselineRehash, eyeriss, resnet18, 6_7, N/A, 303072.0, N/A
BaselineRehash, eyeriss, resnet18, 7_8, N/A, 453600.0, N/A
BaselineRehash, eyeriss, resnet18, 8_9, N/A, 303744.0, N/A
BaselineRehash, eyeriss, resnet18, 9_10, N/A, 303072.0, N/A
BaselineRehash, eyeriss, resnet18, 10_11, N/A, 301776.0, N/A
BaselineRehash, eyeriss, resnet18, 11_12, N/A, 150708.0, N/A
BaselineRehash, eyeriss, resnet18, 12_13, N/A, 228192.0, N/A
BaselineRehash, eyeriss, resnet18, 13_14, N/A, 151032.0, N/A
BaselineRehash, eyeriss, resnet18, 14_15, N/A, 150744.0, N/A
BaselineRehash, eyeriss, resnet18, 15_16, N/A, 166704.0, N/A
BaselineRehash, eyeriss, resnet18, 16_17, N/A, 75408.0, N/A
BaselineRehash, eyeriss, resnet18, 17_18, N/A, 118272.0, N/A
BaselineRehash, eyeriss, resnet18, 18_19, N/A, 76536.0, N/A
BaselineRehash, eyeriss, resnet18, 19_20, N/A, 80064.0, N/A
BaselineRehash, eyeriss, resnet18, 20_21, N/A, 43152.0, N/A
BaselineTotal, eyeriss, resnet18, N/A, N/A, 32817219.0, N/A
Constrained, eyeriss, resnet18, 1, 1803.68, 1214976, 0.719
ConstrainedRehashForced, eyeriss, resnet18, 1_2, N/A, 1506960.0, N/A
Constrained, eyeriss, resnet18, 2, 722.73, 903168, 1.112
Constrained, eyeriss, resnet18, 3, 742.42, 903168, 1.099
ConstrainedRehashForced, eyeriss, resnet18, 3_4, N/A, 603120.0, N/A
Constrained, eyeriss, resnet18, 4, 722.73, 903168, 1.117
Constrained, eyeriss, resnet18, 5, 742.42, 903168, 1.120
ConstrainedRehashForced, eyeriss, resnet18, 5_6, N/A, 603120.0, N/A
Constrained, eyeriss, resnet18, 6, 570.97, 526848, 1.138
Constrained, eyeriss, resnet18, 7, 649.9, 823441, 1.387
ConstrainedRehashForced, eyeriss, resnet18, 7_8, N/A, 453600.0, N/A
Constrained, eyeriss, resnet18, 8, 71.23, 160576, 0.891
ConstrainedRehashForced, eyeriss, resnet18, 8_9, N/A, 303744.0, N/A
Constrained, eyeriss, resnet18, 9, 649.9, 823441, 1.384
Constrained, eyeriss, resnet18, 10, 649.9, 823441, 1.396
ConstrainedRehashForced, eyeriss, resnet18, 10_11, N/A, 301776.0, N/A
Constrained, eyeriss, resnet18, 11, 339.81, 663552, 0.944
Constrained, eyeriss, resnet18, 12, 681.93, 1277952, 0.960
ConstrainedRehashForced, eyeriss, resnet18, 12_13, N/A, 228192.0, N/A
Constrained, eyeriss, resnet18, 13, 82.51, 124100, 1.278
ConstrainedRehashForced, eyeriss, resnet18, 13_14, N/A, 151032.0, N/A
Constrained, eyeriss, resnet18, 14, 684.67, 1277952, 0.944
Constrained, eyeriss, resnet18, 15, 682.65, 1277952, 0.972
ConstrainedRehashForced, eyeriss, resnet18, 15_16, N/A, 166704.0, N/A
Constrained, eyeriss, resnet18, 16, 1451.84, 1775232, 1.466
Constrained, eyeriss, resnet18, 17, 1610.06, 3545856, 1.166
ConstrainedRehashForced, eyeriss, resnet18, 17_18, N/A, 118272.0, N/A
Constrained, eyeriss, resnet18, 18, 117.77, 203264, 0.896
ConstrainedRehashForced, eyeriss, resnet18, 18_19, N/A, 76536.0, N/A
Constrained, eyeriss, resnet18, 19, 1610.06, 3545856, 1.203
Constrained, eyeriss, resnet18, 20, 2029.77, 3545856, 1.182
ConstrainedRehashForced, eyeriss, resnet18, 20_21, N/A, 43152.0, N/A
Constrained, eyeriss, resnet18, 21, 2.5, 768736, 0.697
ConstrainedTotal, eyeriss, resnet18, N/A, N/A, 30547911.0, N/A
TotalTime, eyeriss, resnet18, N/A, N/A, N/A, 102.196
