Type, Architecture, Model, Layer, Energy, Latency, Wall time
Baseline, vector256, mobv3, 1, 19.37, 355044, 0.278
Baseline, vector256, mobv3, 2, 15.94, 312408, 0.768
Baseline, vector256, mobv3, 3, 7.9, 416128, 0.402
Baseline, vector256, mobv3, 4, 71.2, 1208636, 0.327
Baseline, vector256, mobv3, 5, 11.27, 1232832, 0.196
Baseline, vector256, mobv3, 6, 6.05, 326156, 0.234
Baseline, vector256, mobv3, 7, 7.15, 366924, 0.192
Baseline, vector256, mobv3, 8, 217.4, 366984, 0.361
Baseline, vector256, mobv3, 9, 6.36, 363788, 0.241
Baseline, vector256, mobv3, 10, 7.15, 366924, 0.183
Baseline, vector256, mobv3, 11, 13.71, 568500, 0.322
Baseline, vector256, mobv3, 12, 0.07, 2628, 0.192
Baseline, vector256, mobv3, 13, 0.07, 2676, 0.186
Baseline, vector256, mobv3, 14, 6.65, 85480, 0.392
Baseline, vector256, mobv3, 15, 15.56, 145128, 0.248
Baseline, vector256, mobv3, 16, 6.65, 258744, 0.377
Baseline, vector256, mobv3, 17, 0.07, 5804, 0.205
Baseline, vector256, mobv3, 18, 0.08, 5832, 0.227
Baseline, vector256, mobv3, 19, 8.57, 164652, 0.196
Baseline, vector256, mobv3, 20, 15.56, 145128, 0.251
Baseline, vector256, mobv3, 21, 6.65, 258744, 0.353
Baseline, vector256, mobv3, 22, 0.07, 5804, 0.203
Baseline, vector256, mobv3, 23, 0.08, 5832, 0.224
Baseline, vector256, mobv3, 24, 8.57, 164652, 0.194
Baseline, vector256, mobv3, 25, 25.69, 283920, 0.335
Baseline, vector256, mobv3, 26, 7.66, 275589, 0.300
Baseline, vector256, mobv3, 27, 25.55, 101968, 0.198
Baseline, vector256, mobv3, 28, 12.7, 215624, 0.212
Baseline, vector256, mobv3, 29, 2.55, 60180, 0.330
Baseline, vector256, mobv3, 30, 47.77, 74504, 0.204
Baseline, vector256, mobv3, 31, 12.13, 99200, 0.307
Baseline, vector256, mobv3, 32, 2.0, 55593, 0.266
Baseline, vector256, mobv3, 33, 8.49, 116840, 0.276
Baseline, vector256, mobv3, 34, 12.13, 99200, 0.337
Baseline, vector256, mobv3, 35, 2.0, 55593, 0.278
Baseline, vector256, mobv3, 36, 8.49, 116840, 0.255
Baseline, vector256, mobv3, 37, 47.2, 232128, 0.372
Baseline, vector256, mobv3, 38, 5.68, 141996, 0.332
Baseline, vector256, mobv3, 39, 0.17, 86712, 0.245
Baseline, vector256, mobv3, 40, 0.31, 86528, 0.280
Baseline, vector256, mobv3, 41, 27.66, 272988, 0.362
Baseline, vector256, mobv3, 42, 62.59, 315336, 0.297
Baseline, vector256, mobv3, 43, 3.34, 204648, 0.296
Baseline, vector256, mobv3, 44, 0.23, 169860, 0.277
Baseline, vector256, mobv3, 45, 0.53, 169552, 0.260
Baseline, vector256, mobv3, 46, 47.08, 379612, 0.323
Baseline, vector256, mobv3, 47, 62.59, 315336, 0.264
Baseline, vector256, mobv3, 48, 20.47, 187287, 0.188
Baseline, vector256, mobv3, 49, 0.23, 169860, 0.237
Baseline, vector256, mobv3, 50, 0.53, 169552, 0.259
Baseline, vector256, mobv3, 51, 19.85, 192652, 0.279
Baseline, vector256, mobv3, 52, 11.7, 261772, 0.274
Baseline, vector256, mobv3, 53, 33.22, 73788, 0.204
Baseline, vector256, mobv3, 54, 0.64, 345816, 0.261
Baseline, vector256, mobv3, 55, 0.37, 346572, 0.183
Baseline, vector256, mobv3, 56, 18.01, 246140, 0.233
Baseline, vector256, mobv3, 57, 11.7, 261772, 0.235
Baseline, vector256, mobv3, 58, 33.22, 73788, 0.208
Baseline, vector256, mobv3, 59, 0.64, 345816, 0.263
Baseline, vector256, mobv3, 60, 0.37, 346572, 0.175
Baseline, vector256, mobv3, 61, 18.01, 246140, 0.251
Baseline, vector256, mobv3, 62, 11.7, 261772, 0.228
BaselineRehash, vector256, mobv3, 1_2, N/A, 603648.0, N/A
BaselineRehash, vector256, mobv3, 2_3, N/A, 602520.0, N/A
BaselineRehash, vector256, mobv3, 3_4, N/A, 603384.0, N/A
BaselineRehash, vector256, mobv3, 4_5, N/A, 2411184.0, N/A
BaselineRehash, vector256, mobv3, 5_6, N/A, 645900.0, N/A
BaselineRehash, vector256, mobv3, 6_7, N/A, 225864.0, N/A
BaselineRehash, vector256, mobv3, 7_8, N/A, 677460.0, N/A
BaselineRehash, vector256, mobv3, 8_9, N/A, 677460.0, N/A
BaselineRehash, vector256, mobv3, 9_10, N/A, 225852.0, N/A
BaselineRehash, vector256, mobv3, 10_11, N/A, 678060.0, N/A
BaselineRehash, vector256, mobv3, 11_12, N/A, 113052.0, N/A
BaselineRehash, vector256, mobv3, 12_13, N/A, 96.0, N/A
BaselineRehash, vector256, mobv3, 13_14, N/A, 84960.0, N/A
BaselineRehash, vector256, mobv3, 14_15, N/A, 101220.0, N/A
BaselineRehash, vector256, mobv3, 15_16, N/A, 282420.0, N/A
BaselineRehash, vector256, mobv3, 16_17, N/A, 141336.0, N/A
BaselineRehash, vector256, mobv3, 17_18, N/A, 120.0, N/A
BaselineRehash, vector256, mobv3, 18_19, N/A, 141324.0, N/A
BaselineRehash, vector256, mobv3, 19_20, N/A, 94176.0, N/A
BaselineRehash, vector256, mobv3, 20_21, N/A, 282420.0, N/A
BaselineRehash, vector256, mobv3, 21_22, N/A, 141336.0, N/A
BaselineRehash, vector256, mobv3, 22_23, N/A, 120.0, N/A
BaselineRehash, vector256, mobv3, 23_24, N/A, 141324.0, N/A
BaselineRehash, vector256, mobv3, 24_25, N/A, 94176.0, N/A
BaselineRehash, vector256, mobv3, 25_26, N/A, 568176.0, N/A
BaselineRehash, vector256, mobv3, 26_27, N/A, 145968.0, N/A
BaselineRehash, vector256, mobv3, 27_28, N/A, 50460.0, N/A
BaselineRehash, vector256, mobv3, 28_29, N/A, 117684.0, N/A
BaselineRehash, vector256, mobv3, 29_30, N/A, 117744.0, N/A
BaselineRehash, vector256, mobv3, 30_31, N/A, 54048.0, N/A
BaselineRehash, vector256, mobv3, 31_32, N/A, 108288.0, N/A
BaselineRehash, vector256, mobv3, 32_33, N/A, 108264.0, N/A
BaselineRehash, vector256, mobv3, 33_34, N/A, 50652.0, N/A
BaselineRehash, vector256, mobv3, 34_35, N/A, 108288.0, N/A
BaselineRehash, vector256, mobv3, 35_36, N/A, 108264.0, N/A
BaselineRehash, vector256, mobv3, 36_37, N/A, 47112.0, N/A
BaselineRehash, vector256, mobv3, 37_38, N/A, 283704.0, N/A
BaselineRehash, vector256, mobv3, 38_39, N/A, 141972.0, N/A
BaselineRehash, vector256, mobv3, 39_40, N/A, 432.0, N/A
BaselineRehash, vector256, mobv3, 40_41, N/A, 141936.0, N/A
BaselineRehash, vector256, mobv3, 41_42, N/A, 70668.0, N/A
BaselineRehash, vector256, mobv3, 42_43, N/A, 395412.0, N/A
BaselineRehash, vector256, mobv3, 43_44, N/A, 198624.0, N/A
BaselineRehash, vector256, mobv3, 44_45, N/A, 576.0, N/A
BaselineRehash, vector256, mobv3, 45_46, N/A, 198708.0, N/A
BaselineRehash, vector256, mobv3, 46_47, N/A, 70980.0, N/A
BaselineRehash, vector256, mobv3, 47_48, N/A, 395556.0, N/A
BaselineRehash, vector256, mobv3, 48_49, N/A, 50508.0, N/A
BaselineRehash, vector256, mobv3, 49_50, N/A, 576.0, N/A
BaselineRehash, vector256, mobv3, 50_51, N/A, 50532.0, N/A
