Type, Architecture, Model, Layer, Energy, Latency, Wall time
Baseline, vector256, resnet18, 1, 244.47, 3060748, 0.243
Baseline, vector256, resnet18, 2, 821.88, 1215792, 0.732
Baseline, vector256, resnet18, 3, 821.88, 1215792, 0.755
Baseline, vector256, resnet18, 4, 821.88, 1215792, 0.734
Baseline, vector256, resnet18, 5, 821.88, 1215792, 0.745
Baseline, vector256, resnet18, 6, 116.84, 641149, 0.415
Baseline, vector256, resnet18, 7, 465.85, 931069, 0.720
Baseline, vector256, resnet18, 8, 29.91, 228344, 0.590
Baseline, vector256, resnet18, 9, 465.85, 931069, 0.706
Baseline, vector256, resnet18, 10, 465.85, 931069, 0.716
Baseline, vector256, resnet18, 11, 100.19, 668172, 0.316
Baseline, vector256, resnet18, 12, 427.08, 900108, 0.605
Baseline, vector256, resnet18, 13, 71.32, 198365, 0.303
Baseline, vector256, resnet18, 14, 427.08, 900108, 0.630
Baseline, vector256, resnet18, 15, 427.08, 900108, 0.583
Baseline, vector256, resnet18, 16, 103.23, 1807200, 0.248
Baseline, vector256, resnet18, 17, 198.42, 3614304, 0.259
Baseline, vector256, resnet18, 18, 8.31, 221708, 0.244
Baseline, vector256, resnet18, 19, 198.42, 3614304, 0.251
Baseline, vector256, resnet18, 20, 198.42, 3614304, 0.251
Baseline, vector256, resnet18, 21, 1.0, 768736, 0.233
BaselineRehash, vector256, resnet18, 1_2, N/A, 1524120.0, N/A
BaselineRehash, vector256, resnet18, 2_3, N/A, 621600.0, N/A
BaselineRehash, vector256, resnet18, 3_4, N/A, 621600.0, N/A
BaselineRehash, vector256, resnet18, 4_5, N/A, 621600.0, N/A
BaselineRehash, vector256, resnet18, 5_6, N/A, 603456.0, N/A
BaselineRehash, vector256, resnet18, 6_7, N/A, 302112.0, N/A
BaselineRehash, vector256, resnet18, 7_8, N/A, 452448.0, N/A
BaselineRehash, vector256, resnet18, 8_9, N/A, 302064.0, N/A
BaselineRehash, vector256, resnet18, 9_10, N/A, 301920.0, N/A
BaselineRehash, vector256, resnet18, 10_11, N/A, 301296.0, N/A
BaselineRehash, vector256, resnet18, 11_12, N/A, 161568.0, N/A
BaselineRehash, vector256, resnet18, 12_13, N/A, 226560.0, N/A
BaselineRehash, vector256, resnet18, 13_14, N/A, 150744.0, N/A
BaselineRehash, vector256, resnet18, 14_15, N/A, 150816.0, N/A
BaselineRehash, vector256, resnet18, 15_16, N/A, 150648.0, N/A
BaselineRehash, vector256, resnet18, 16_17, N/A, 75288.0, N/A
BaselineRehash, vector256, resnet18, 17_18, N/A, 112920.0, N/A
BaselineRehash, vector256, resnet18, 18_19, N/A, 75288.0, N/A
BaselineRehash, vector256, resnet18, 19_20, N/A, 75288.0, N/A
BaselineRehash, vector256, resnet18, 20_21, N/A, 38508.0, N/A
BaselineTotal, vector256, resnet18, N/A, N/A, 35663877.0, N/A
Constrained, vector256, resnet18, 1, 244.47, 3060748, 0.264
ConstrainedRehashForced, vector256, resnet18, 1_2, N/A, 1524120.0, N/A
Constrained, vector256, resnet18, 2, 821.88, 1215792, 0.749
Constrained, vector256, resnet18, 3, 476.27, 1223064, 0.776
ConstrainedRehashForced, vector256, resnet18, 3_4, N/A, 621600.0, N/A
Constrained, vector256, resnet18, 4, 821.88, 1215792, 0.738
Constrained, vector256, resnet18, 5, 476.27, 1223064, 0.752
ConstrainedRehashForced, vector256, resnet18, 5_6, N/A, 603456.0, N/A
Constrained, vector256, resnet18, 6, 116.84, 641149, 0.416
Constrained, vector256, resnet18, 7, 370.28, 947424, 0.617
ConstrainedRehashForced, vector256, resnet18, 7_8, N/A, 452448.0, N/A
Constrained, vector256, resnet18, 8, 29.91, 228344, 0.592
ConstrainedRehashForced, vector256, resnet18, 8_9, N/A, 302064.0, N/A
Constrained, vector256, resnet18, 9, 521.5, 931309, 0.852
Constrained, vector256, resnet18, 10, 465.85, 931069, 0.738
ConstrainedRehashForced, vector256, resnet18, 10_11, N/A, 301296.0, N/A
Constrained, vector256, resnet18, 11, 119.81, 668172, 0.348
Constrained, vector256, resnet18, 12, 427.08, 900108, 0.613
ConstrainedRehashForced, vector256, resnet18, 12_13, N/A, 226560.0, N/A
Constrained, vector256, resnet18, 13, 71.32, 198365, 0.339
ConstrainedRehashForced, vector256, resnet18, 13_14, N/A, 150744.0, N/A
Constrained, vector256, resnet18, 14, 427.08, 900108, 0.700
Constrained, vector256, resnet18, 15, 419.0, 900084, 0.658
ConstrainedRehashForced, vector256, resnet18, 15_16, N/A, 150648.0, N/A
Constrained, vector256, resnet18, 16, 103.23, 1807200, 0.259
Constrained, vector256, resnet18, 17, 198.42, 3614304, 0.290
ConstrainedRehashForced, vector256, resnet18, 17_18, N/A, 112920.0, N/A
Constrained, vector256, resnet18, 18, 8.31, 221708, 0.251
ConstrainedRehashForced, vector256, resnet18, 18_19, N/A, 75288.0, N/A
Constrained, vector256, resnet18, 19, 198.42, 3614304, 0.260
Constrained, vector256, resnet18, 20, 198.42, 3614304, 0.281
ConstrainedRehashForced, vector256, resnet18, 20_21, N/A, 38508.0, N/A
Constrained, vector256, resnet18, 21, 1.0, 768736, 0.246
ConstrainedTotal, vector256, resnet18, N/A, N/A, 33384800.0, N/A
TotalTime, vector256, resnet18, N/A, N/A, N/A, 47.928
