Type, Architecture, Model, Layer, Energy, Latency, Wall time
Squareloop1Layer, eyeriss, resnet18, 1, 6380.77, 1214976, 93.475
Squareloop1Layer, eyeriss, resnet18, 2, 722.73, 903168, 106.925
Squareloop1Layer, eyeriss, resnet18, 6, 558.48, 526848, 96.306
Squareloop1Layer, eyeriss, resnet18, 7, 649.9, 823441, 133.596
Squareloop1Layer, eyeriss, resnet18, 8, 71.23, 160576, 90.018
Squareloop1Layer, eyeriss, resnet18, 11, 339.81, 663552, 84.393
Squareloop1Layer, eyeriss, resnet18, 12, 684.67, 1277952, 75.522
Squareloop1Layer, eyeriss, resnet18, 13, 82.51, 124100, 143.972
Squareloop1Layer, eyeriss, resnet18, 16, 925.93, 1777920, 163.549
Squareloop1Layer, eyeriss, resnet18, 17, 1610.91, 3545856, 85.269
Squareloop1Layer, eyeriss, resnet18, 18, 117.77, 203264, 93.647
Squareloop1Layer, eyeriss, resnet18, 21, 2.34, 768496, 138.861
Squareloop1Layer, eyeriss, mobv3, 1, 87.35, 302736, 225.195
Squareloop1Layer, eyeriss, mobv3, 2, 169.78, 336144, 106.446
Squareloop1Layer, eyeriss, mobv3, 3, 54.8, 302288, 86.838
Squareloop1Layer, eyeriss, mobv3, 4, 182.13, 1206400, 269.836
Squareloop1Layer, eyeriss, mobv3, 5, 207.84, 1229784, 99.364
Squareloop1Layer, eyeriss, mobv3, 6, 66.68, 302288, 106.970
Squareloop1Layer, eyeriss, mobv3, 7, 74.51, 340704, 101.552
Squareloop1Layer, eyeriss, mobv3, 8, 191.15, 378744, 76.549
Squareloop1Layer, eyeriss, mobv3, 9, 91.29, 340816, 114.447
Squareloop1Layer, eyeriss, mobv3, 11, 152.28, 353856, 80.451
Squareloop1Layer, eyeriss, mobv3, 12, 0.08, 2613, 106.729
Squareloop1Layer, eyeriss, mobv3, 13, 0.08, 2620, 149.155
Squareloop1Layer, eyeriss, mobv3, 14, 24.3, 86100, 76.624
Squareloop1Layer, eyeriss, mobv3, 15, 146.75, 143168, 126.750
Squareloop1Layer, eyeriss, mobv3, 16, 237.28, 162800, 152.992
Squareloop1Layer, eyeriss, mobv3, 17, 0.09, 5792, 180.140
Squareloop1Layer, eyeriss, mobv3, 18, 0.1, 5788, 95.721
Squareloop1Layer, eyeriss, mobv3, 19, 62.07, 143304, 126.458
Squareloop1Layer, eyeriss, mobv3, 25, 356.64, 284368, 82.803
Squareloop1Layer, eyeriss, mobv3, 26, 50.11, 274068, 106.705
Squareloop1Layer, eyeriss, mobv3, 27, 116.74, 75712, 112.922
Squareloop1Layer, eyeriss, mobv3, 28, 37.56, 63308, 106.431
Squareloop1Layer, eyeriss, mobv3, 29, 29.61, 59130, 144.028
Squareloop1Layer, eyeriss, mobv3, 30, 55.67, 64737, 128.098
Squareloop1Layer, eyeriss, mobv3, 31, 73.44, 57460, 124.040
Squareloop1Layer, eyeriss, mobv3, 32, 62.58, 54541, 85.581
Squareloop1Layer, eyeriss, mobv3, 33, 47.59, 59297, 65.943
Squareloop1Layer, eyeriss, mobv3, 37, 53.81, 149616, 101.411
